# علاجات انف اذن حنجرة

اسم العلاج | Treatment Name  
---|---  
جراحة الجيوب الأنفية  |  Traditional sinus surgery for sinusitis  
جراحة السلائل الأنفية  |  Endoscopic surgery for sinusitis  
عملية الحاجز الانفي  |  Repair of a Deviated Septum (Septoplasty)  
جراحة أنابيب تهوئة الأذن  |  Tubes for ear infections  
جراحة شد الأذن  |  Cosmetic Surgery For Ears  
رأب طبلة الأذن  |  Tympanoplasty  
استئصال الحنجرة  |  Laryngectomy  
علاج الشخير  |  Snoring surgery  
جراحة الأنف  |  Rhinoplasty  
عملية استئصال اللوزتين  |  Tonsillectomy  
جراحة الفكين  |  Mentoplasty  
التهابات الأذن الوسطى  |  Middle ear, Chronic Infection surgical treatment  
تشريح الرقبة  |  Neck, metastases and neck dissection

